start_station_id,count_of_rides,avg_start_lat,start_lng,ranking
4784.02,1,40.735353589,-74.046973348,167
4816.05,1,40.735353589,-74.046973348,168
5436.09,1,40.71433115,-74.03313255,169
5553.10,1,40.73771905,-74.06712138333333,170
6753.08,1,40.73771905,-74.06712138333333,171
6535.04,1,40.735353589,-74.046973348,172
6046.02,1,40.73771905,-74.06712138333333,173
6072.06,1,40.735353589,-74.046973348,174
6072.11,1,40.735353589,-74.046973348,175
6140.05,1,40.735353589,-74.046973348,176
6257.03,1,40.735353589,-74.046973348,177
6306.06,1,40.735353589,-74.046973348,178
6429.01,1,40.73771905,-74.06712138333333,179
6459.04,1,40.735353589,-74.046973348,180
6459.07,1,40.735353589,-74.046973348,181
6495.17,1,40.735353589,-74.046973348,182
6560.01,1,40.719274633333335,-74.04311011666667,183
6004.06,1,40.735353589,-74.046973348,184
6560.15,1,40.763495633333335,-74.01484118333333,185
6602.03,1,40.735353589,-74.046973348,186
6644.08,1,40.735353589,-74.046973348,187
6659.01,1,40.735353589,-74.046973348,188
6659.09,1,40.71433115,-74.03313255,189
6676.02,1,40.735353589,-74.046973348,190
6679.11,1,40.73771905,-74.06712138333333,191
4243.01,1,40.735353589,-74.046973348,192
6740.10,1,40.735353589,-74.046973348,193
6747.06,1,40.78096506666667,-74.01874861666667,194
6030.04,1,40.735353589,-74.046973348,195
5989.02,1,40.735353589,-74.046973348,196
5569.06,1,40.73771905,-74.06712138333333,197
5712.03,1,40.735353589,-74.046973348,198
5575.13,1,40.73771905,-74.06712138333333,199
5584.04,1,40.735353589,-74.046973348,200
5593.02,1,40.735353589,-74.046973348,201
5593.04,1,40.719274633333335,-74.04311011666667,202
5602.06,1,40.719274633333335,-74.04311011666667,203
5613.04,1,40.735353589,-74.046973348,204
5616.01,1,40.758944983333336,-74.0153526,205
5626.07,1,40.735353589,-74.046973348,206
5626.13,1,40.71433115,-74.03313255,207
5679.08,1,40.76520691666666,-74.02862141666667,208
5721.01,1,40.73771905,-74.06712138333333,209
5955.12,1,40.719274633333335,-74.04311011666667,210
5730.08,1,40.735353589,-74.046973348,211
5746.14,1,40.735353589,-74.046973348,212
5752.09,1,40.735353589,-74.046973348,213
5755.01,1,40.735353589,-74.046973348,214
5755.09,1,40.735353589,-74.046973348,215
5788.12,1,40.735353589,-74.046973348,216
5788.16,1,40.735353589,-74.046973348,217
5820.08,1,40.71433115,-74.03313255,218
5838.09,1,40.735353589,-74.046973348,219
5922.04,1,40.71433115,-74.03313255,220
6717.06,1,40.735353589,-74.046973348,221
