start_station_id,count_of_rides,avg_start_lat,start_lng,ranking
JC115,16472,40.71936496860734,-74.0431222120088,1
HB102,14697,40.7360826319723,-74.02914041568869,2
HB103,12013,40.73701736041536,-74.02778117663925,3
HB101,9120,40.73593077969259,-74.03033518824456,4
HB105,8346,40.73731589537084,-74.03100564407633,5
JC066,8322,40.72722658930389,-74.03375536003625,6
JC009,7376,40.727572253783265,-74.04425386322012,7
JC008,7192,40.72874698852294,-74.03211299454547,8
JC109,6814,40.73106554794386,-74.06439147628848,9
HB202,6467,40.75287742563513,-74.02431311767192,10
HB502,6419,40.7499578250321,-74.02723463380859,11
JC003,6121,40.717729935627396,-74.04384637488107,12
HB201,6115,40.75060078567418,-74.02408762660575,13
JC105,6037,40.735235051000544,-74.04692926786676,14
HB607,5880,40.74094136451745,-74.02860802621122,15
JC013,5838,40.71458738558984,-74.04281472318233,16
JC052,5673,40.71125077026676,-74.05569042591985,17
HB603,5642,40.745962500090094,-74.02817803507754,18
JC104,5383,40.7192662931675,-74.03423560792841,19
JC116,5274,40.71638933144871,-74.03438264603416,20
HB501,5135,40.748168188272196,-74.03246193797845,21
HB303,4862,40.745412523701354,-74.03333906638393,22
JC032,4823,40.72150519291277,-74.04629091888147,23
JC006,4794,40.72111912476456,-74.03804575221005,24
JC098,4777,40.72428898520069,-74.03550249228923,25
JC035,4591,40.71848248499622,-74.04773376538714,26
HB305,4569,40.747934450049485,-74.03841512865701,27
HB402,4541,40.738766344462086,-74.03927005686383,28
JC014,4514,40.71843332354835,-74.03888553416934,29
JC082,4414,40.72166598064677,-74.04288640639085,30
HB506,4350,40.754040688229196,-74.03160062763257,31
HB601,4304,40.74264634858161,-74.03226414827448,32
HB304,4192,40.74639621839165,-74.03804690559616,33
HB409,4186,40.737441176322186,-74.03570218617503,34
JC110,4120,40.715406346042066,-74.049691494079,35
HB401,4089,40.7375698717915,-74.04165874138262,36
HB203,4052,40.75446207577246,-74.02659668967875,37
HB407,3981,40.73979313518938,-74.03688570338134,38
JC102,3912,40.715152064826356,-74.0376895016017,39
HB408,3802,40.740744263313694,-74.042562589771,40
JC072,3669,40.712395237161836,-74.03845375633445,41
JC002,3668,40.714151072519996,-74.0335572472888,42
JC055,3510,40.72538579858338,-74.06755686387791,43
HB505,3510,40.75186389073694,-74.03038345809262,44
HB602,3499,40.74314015195207,-74.02700162277434,45
HB503,3420,40.749944863447006,-74.03587441930969,46
JC081,3415,40.72605400174794,-74.0503744134113,47
HB301,3410,40.74225946753279,-74.03508295432681,48
JC023,3207,40.724141352958426,-74.05067622620184,49
JC074,3111,40.72333068848134,-74.0459021142901,50
HB608,3018,40.73915244336897,-74.0330771168278,51
JC103,2946,40.733685200481894,-74.06246620936682,52
HB302,2939,40.74435004693784,-74.0344869292266,53
JC078,2716,40.71348438322826,-74.06282392446309,54
JC020,2625,40.72360940921499,-74.06419533302959,55
JC076,2440,40.72163558649212,-74.04998741229295,56
JC024,2394,40.74263400480562,-74.05181236946395,57
JC057,2385,40.744478622640955,-74.04390785481664,58
JC027,2382,40.72528620587629,-74.04555818387118,59
JC099,2329,40.71943741882424,-74.05098715356863,60
JC075,2273,40.7256586186512,-74.0488063869321,61
JC019,2245,40.73115805780282,-74.05752391645107,62
JC022,2215,40.73757828822242,-74.05244356420076,63
HB404,2184,40.74313676071911,-74.040064181762,64
HB507,2150,40.750816809638216,-74.03358294664879,65
JC038,1994,40.712790876250416,-74.0364913084532,66
JC093,1909,40.725754471304526,-74.07193037148134,67
JC095,1884,40.722105365974436,-74.07143569302302,68
JC080,1806,40.745840773136734,-74.05722189892253,69
JC034,1736,40.7347858939303,-74.05043102313479,70
JC053,1550,40.724645255838354,-74.07835547868932,71
JC059,1535,40.74870573504752,-74.04048773904226,72
JC084,1381,40.714372526496426,-74.06664268171922,73
JC077,1366,40.71929516641147,-74.07120177570113,74
JC094,1342,40.72758443728657,-74.07101460802951,75
JC097,1302,40.71664785004047,-74.04240663543412,76
JC018,1206,40.7349645482076,-74.05952110356874,77
JC065,964,40.73771877385754,-74.06691251112034,78
JC051,607,40.71816161725206,-74.08337531640471,79
JC063,486,40.71114932567078,-74.07889924990947,80
JC108,387,40.70664132706401,-74.08670678310803,81
JC107,236,40.70924723692252,-74.0807265691832,82
6847.02,7,40.736272777857145,-74.02921557442858,83
5492.05,4,40.735353589,-74.046973348,84
5905.14,3,40.72913459633333,-74.04907576044444,85
6756.05,3,40.74030674266667,-74.03680911533333,86
7323.09,3,40.736142076,-74.05368935977778,87
8226.06,2,40.758944983333336,-74.0153526,88
6747.07,2,40.72358888616667,-74.03984988233333,89
6839.10,2,40.735353589,-74.046973348,90
6932.15,2,40.735353589,-74.046973348,91
6551.11,2,40.73771905,-74.06712138333333,92
6212.04,2,40.735353589,-74.046973348,93
5359.11,2,40.735353589,-74.046973348,94
5886.13,2,40.735353589,-74.046973348,95
5065.04,2,40.7219079445,-74.03688571566667,96
6131.12,2,40.736536319500004,-74.05704736566666,97
4993.02,2,40.72731411116666,-74.04504173233333,98
4824.03,2,40.724842369499996,-74.040052949,99
4906.07,2,40.735353589,-74.046973348,100
6779.05,1,40.75007196666667,-74.01744501666667,101
7049.04,1,40.73771905,-74.06712138333333,102
6822.09,1,40.735353589,-74.046973348,103
6912.01,1,40.735353589,-74.046973348,104
6925.09,1,40.73771905,-74.06712138333333,105
6948.10,1,40.758944983333336,-74.0153526,106
7059.01,1,40.77218081666667,-74.00700725,107
8254.01,1,40.8639433,-73.9411734,108
